,individualcount,eventdate_datetime
583,2.0,2021-01-02 00:00:00+00:00
584,2.0,2021-05-25 00:00:00+00:00
585,6.0,2021-01-20 00:00:00+00:00
586,20.0,2021-01-10 00:00:00+00:00
587,2.0,2021-10-21 00:00:00+00:00
588,7.0,2023-02-01 00:00:00+00:00
589,4.0,2021-03-28 00:00:00+00:00
590,35.0,2021-09-03 00:00:00+00:00
591,7.0,2021-01-19 00:00:00+00:00
592,42.0,2021-02-21 00:00:00+00:00
593,6.0,2021-12-12 00:00:00+00:00
594,0.0,2022-03-09 12:32:28+00:00
595,2.0,2021-05-15 00:00:00+00:00
596,1.0,2021-07-09 00:00:00+00:00
597,2.0,2021-09-24 00:00:00+00:00
598,2.0,2021-03-26 00:00:00+00:00
599,9.0,2021-03-01 00:00:00+00:00
600,0.0,2021-01-17 00:00:00+00:00
601,6.0,2022-08-09 00:00:00+00:00
602,24.0,2021-02-27 00:00:00+00:00
603,7.0,2021-08-22 00:00:00+00:00
